Work,Author,Era,School of Thought,Topic(s),Original Language,Prerequisite,Eastern/Western
The Myth of Sisyphus,Albert Camus,Contemporary,Continental,Ethics,French,N/A,Western
Of Grammatology,Jacques Derrida,Contemporary,Continental,Epistemology,French,Being and Time - Heidegger,Western
Of Grammatology,Jacques Derrida,Contemporary,Continental,Language,French,Being and Time - Heidegger,Western
Being and Nothingness,Jean-Paul Sartre,Contemporary,Continental,Metaphysics,French,N/A,Western
Being and Nothingness,Jean-Paul Sartre,Contemporary,Continental,Mind,French,N/A,Western
Negative Dialectics,Theodor Adorno,Contemporary,Continental,Epistemology,German,Phenomenology of Spirit - Hegel,Western
Aesthetic Theory,Theodor Adorno,Contemporary,Continental,Aesthetics,German,N/A,Western
Aesthetic Theory,Theodor Adorno,Contemporary,Continental,Social,German,N/A,Western
The Second Sex,Simone de Beauvoir,Contemporary,Feminist,Social,French,N/A,Western
The Order of Things,Michel Foucault,Contemporary,Continental,Epistemology,French,The Problems of Philsoohpy - Russel,Western
The Order of Things,Michel Foucault,Contemporary,Continental,Language,French,The Problems of Philsoohpy - Russel,Western
The Order of Things,Michel Foucault,Contemporary,Continental,Social,French,The Problems of Philsoohpy - Russel,Western
,,,,,,,
Philosophy and the Mirror of Nature,Richard Rorty,Contemporary,Post-Analytic,Epistemology,English,N/A,Western
Philosophy and the Mirror of Nature,Richard Rorty,Contemporary,Post-Analytic,Language,English,N/A,Western
Philosophy and the Mirror of Nature,Richard Rorty,Contemporary,Post-Analytic,Mind,English,N/A,Western
On Formally Undecidable Propositions of Principia Mathematica and Related Systems,Kurt Godel,Contemporary,Math,Epistemology,German,N/A,Western
On Formally Undecidable Propositions of Principia Mathematica and Related Systems,Kurt Godel,Contemporary,Math,Logic,German,N/A,Western
Two Dogmas of Empiricism,William Quine,Contemporary,Post-Analytic,Metaphysics,English,N/A,Western
Two Dogmas of Empiricism,William Quine,Contemporary,Post-Analytic,Epistemology,English,N/A,Western
Two Dogmas of Empiricism,William Quine,Contemporary,Post-Analytic,Logic,English,N/A,Western
Naming and Necessity,Saul Kripke,Contemporary,Analytic,Metaphysics,English,On Sense and Reference - Frege,Western
Naming and Necessity,Saul Kripke,Contemporary,Analytic,Language,English,On Sense and Reference - Frege,Western
,,,,,,,
Natural Law and Natural Rights,John Finnis,Contemporary,Law,Ethics,English,N/A,Western
Natural Law and Natural Rights,John Finnis,Contemporary,Law,Politics,English,N/A,Western
The Concept of Law,H.L.A. Hart,Contemporary,Law,Ethics,English,N/A,Western
The Concept of Law,H.L.A. Hart,Contemporary,Law,Politics,English,N/A,Western
